algorithm,training_seed,disturbance_type,disturbance_level,num_episodes,success_rate,mean_episode_return,std_episode_return,mean_final_goal_distance,std_final_goal_distance,mean_episode_length,std_episode_length,mean_payload_stability,std_payload_stability,mean_control_effort,std_control_effort,mean_force_imbalance,std_force_imbalance
independent_ddpg,23,observation_noise,0.2,20,0.55,5.772157042397476,5.454856289924818,0.34092783463399357,0.2270090387393789,244.8,74.83919603495147,1.265614952856153,0.3761300580402162,887.5516573485713,274.28431550739566,0.43820712737676126,0.08445122953791334
independent_ddpg,29,action_deadzone,0.0,20,1.0,11.162191759256165,0.032649382213635766,0.18022137163383342,0.012693345231491541,58.6,2.0104987598001385,0.8235244206882161,0.0894098720177848,158.2232791193172,12.136476241903765,0.32487969841794484,0.05792200038732335
independent_ddpg,29,action_deadzone,0.05,20,1.0,11.162240821040541,0.03260705821010085,0.18017604725271047,0.012699882343449848,58.6,2.0104987598001385,0.8235294179780144,0.08937727235720627,158.21963736116183,12.127942024662818,0.32483338658722916,0.05785203419902524
independent_ddpg,29,action_deadzone,0.1,20,1.0,11.162961511266985,0.03234110553933489,0.17922749963295706,0.01244540441808301,58.65,2.0072237962970276,0.8274665716123799,0.08613158804854919,158.44751846258066,12.123702397336848,0.32425713614968055,0.05763115690921137
independent_ddpg,29,action_deadzone,0.2,20,1.0,11.161079136470288,0.032098589250013125,0.18092198567676152,0.013130139155090731,58.55,2.139232523470434,0.833936267544326,0.08127061230335966,158.63533646193395,12.301123356355145,0.32465181130352455,0.05610130469191593
independent_ddpg,29,action_deadzone,0.3,20,1.0,11.161149667846985,0.03169235140618591,0.18112019404219187,0.013155942751951673,58.6,2.087557121815378,0.8216480522231597,0.08059329679130495,158.36660196046273,12.073082408203605,0.3223751718322333,0.05644028702311492
independent_ddpg,29,observation_noise,0.0,20,1.0,11.162191759256165,0.032649382213635766,0.18022137163383342,0.012693345231491541,58.6,2.0104987598001385,0.8235244206882161,0.0894098720177848,158.2232791193172,12.136476241903765,0.32487969841794484,0.05792200038732335
independent_ddpg,29,observation_noise,0.02,20,1.0,11.144762199768774,0.03194165766950764,0.18210989283503326,0.014044510506919156,58.8,3.053901732124608,0.8084051637233175,0.13373097899354747,173.764373355488,11.529805786013597,0.31261147100365066,0.05147555402806491
independent_ddpg,29,observation_noise,0.05,20,1.0,11.134378144776566,0.030655586950070576,0.17923510352417926,0.01081710422339498,58.75,1.681947492765767,0.78853486088526,0.10994438983304781,187.02325469865144,8.43454356695565,0.303629822463336,0.03409144996185859
independent_ddpg,29,observation_noise,0.1,20,1.0,11.109609207466713,0.029027573535985576,0.18224856522638905,0.009953926249991684,61.0,2.102629932151387,0.7149665052216989,0.08888726815809483,208.77876338888933,9.426269527101494,0.26963155199809463,0.029380057670177297
independent_ddpg,29,observation_noise,0.2,20,0.95,10.530828025340998,2.493803477542753,0.2057630535617069,0.0943081193399662,76.0,52.795534101405124,0.6073097843601387,0.22392428869539804,264.0453280662103,170.92524228718565,0.24812323153102125,0.0507044868891591
independent_ddpg,31,action_deadzone,0.0,20,1.0,11.162989617059884,0.03162060663387828,0.1861804898641377,0.008695747506420283,59.5,1.7917941611104418,0.8176561480672417,0.051187320743641344,151.46635028593474,11.6836124969779,0.27566163574777297,0.019920738456662396
independent_ddpg,31,action_deadzone,0.05,20,1.0,11.16300103288313,0.0316351092470094,0.18617079113023044,0.008671155593545678,59.5,1.7917941611104418,0.8176618391683228,0.05116825589069664,151.46453865735515,11.689976277124936,0.27560373439229735,0.019716485610574576
independent_ddpg,31,action_deadzone,0.1,20,1.0,11.163070782934756,0.0317070894466706,0.1860719385022973,0.00862091005791741,59.5,1.7917941611104418,0.8176630957226564,0.0513872889659955,151.4937922097683,11.689810485379068,0.27530125182207005,0.01913347993082913
